#afm_flds.table_name,field_name,ml_heading,afm_type,allow_null,comments,data_type,decimals,dep_cols,dflt_val,edit_group,edit_mask,enum_list,is_atxt,max_val,min_val,afm_module,num_format,primary_key,ref_table,review_group,afm_size,sl_heading,string_format,is_tc_traceable,field_grouping,attributes,validate_data
#331 records written,,,,,,,,,,,,,,,,,,,,,,,,,,,
rrcostdet,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrcostdet,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrcostdet,user_requested_by,"Requested
By","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,35,,5,0,,,1
rrdayresocc,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayresocc,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayresocc,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrdayresocc,monthtxt,Month,"2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,7,,5,0,,,1
rrdayresocc,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,0,,,10,,25,0,,,1
rrdayresocc,resource_id,"Resource
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,10,0,,,1
rrdayresocc,resource_name,"Resource
Std. Name","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,32,,5,0,,,1
rrdayresocc,resource_std,"Resource
Standard","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayresocc,rsres_id,"Resource Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,0,1,,,10,,25,0,,,1
rrdayresocc,site_id,"Site
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayresocc,status,"Status of
Resource Reservation","2,070",1,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
rrdayresocc,time_end,"Time
End","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayresocc,time_start,"Time
Start","2,070",1,Reservations-v16.3,10,0,,,,,,0,,,20,0,0,,,8,,5,0,,,1
rrdayresocc,total_hours,Total hours,"2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,0,0,,,10,,25,0,,,1
rrdayrmocc,bl_id,"Building
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmocc,config_id,"Configuration
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmocc,ctry_id,"Country
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmocc,date_start,"Date
Start","2,070",1,Reservations-v16.3,9,0,,,,,,0,,,20,0,0,,,10,,5,0,,,1
rrdayrmocc,fl_id,"Floor
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,4,,10,0,,,1
rrdayrmocc,monthtxt,Month,"2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,7,,5,0,,,1
rrdayrmocc,res_id,"Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,2,0,,,10,,25,0,,,1
rrdayrmocc,rm_arrange_type,Code Room Arrgmt Type,"2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,60,,5,0,,,1
rrdayrmocc,rm_arrange_type_id,"Room
Arrangement Type","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmocc,rm_id,"Room
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,8,,10,0,,,1
rrdayrmocc,rmres_id,"Room Reservation
Code","2,070",1,Reservations-v16.3,4,0,,,,,,0,,,20,0,1,,,10,,25,0,,,1
rrdayrmocc,site_id,"Site
Code","2,070",1,Reservations-v16.3,1,0,,,,,,0,,,20,0,0,,,16,,10,0,,,1
rrdayrmocc,status,"Status of
Room Reservation","2,070",1,Reservations-v16.3,1,0,,,,,Awaiting App.;Awaiting Approval;Rejected;Rejected;Cancelled;Cancelled;Confirmed;Confirmed;Closed;Closed,0,,,20,0,0,,,16,,5,0,,,1
